
Horas_Jogadas,Avaliacao_Usuarios,Jogadores_Online,Popularidade,Genero_Jogo,Preco_Jogo,Avaliacao_Critica,Vendas_Totais
56.07,7.25,1637,87.27,Aventura,93.67,9.14,10501
97.29,3.29,29929,97.96,RPG,25.17,5.88,71616
60.92,2.83,699,66.5,Aventura,62.52,9.1,54736
20.35,2.91,44949,12.38,Aventura,48.79,1.26,83840
51.32,3.96,40138,38.28,Aventura,5.99,1.25,86045
41.27,4.01,25073,52.84,RPG,64.42,0.36,95375
69.86,3.06,49604,79.55,RPG,80.11,6.07,1957
22.26,9.92,14166,42.34,RPG,52.36,3.46,98384
91.1,7.32,3168,13.4,RPG,3.0,2.49,92282
31.46,7.42,6674,11.8,Aventura,58.56,8.07,28575
61.63,8.89,16298,79.54,RPG,71.48,2.24,17964
56.34,5.65,4979,31.49,Estratégia,46.61,3.13,83782
58.98,1.27,19194,14.59,Estratégia,71.62,3.71,80305
82.98,2.5,33191,33.59,Aventura,19.33,8.97,74315
32.83,9.05,34675,91.25,RPG,29.33,4.91,66629
33.56,6.21,16926,36.08,Estratégia,29.83,3.24,4920
63.23,9.27,16366,11.28,RPG,0.09,7.84,26768
72.79,0.72,33747,13.06,Aventura,55.65,3.29,88350
23.72,3.81,47796,3.94,RPG,24.42,7.06,60002
40.55,7.96,39171,41.31,Estratégia,98.73,7.15,17800
28.18,0.43,10943,3.31,Aventura,87.99,3.29,15730
98.4,9.22,10592,34.57,RPG,44.98,3.54,33877
14.65,9.59,16648,80.98,Aventura,90.78,3.09,45476
72.81,0.45,7790,57.03,RPG,53.32,4.08,68912
45.23,9.82,39539,92.19,Estratégia,44.69,7.16,47772
94.56,3.62,40282,73.33,Aventura,11.76,6.63,78808
48.06,5.29,16806,22.2,RPG,30.65,9.17,55776
75.74,6.16,10583,34.55,Estratégia,85.01,3.72,12092
36.71,1.26,37342,52.31,Estratégia,64.63,1.04,10962
33.68,4.83,11378,28.67,Estratégia,86.06,9.18,66300
55.5,7.74,24987,24.39,RPG,43.33,7.23,76015
67.27,9.9,35925,45.81,Aventura,46.17,8.63,92092
20.45,2.0,37380,36.77,Aventura,49.95,8.83,75550
63.33,9.35,28346,59.46,Estratégia,98.72,1.32,53205
17.06,1.88,25027,50.19,Aventura,48.96,2.51,30633
0.74,5.59,2494,42.78,Estratégia,70.91,1.35,30079
30.73,2.89,15068,39.22,RPG,10.92,8.89,23058
94.85,3.43,4271,75.73,Estratégia,66.31,9.41,56428
72.69,1.03,3259,37.06,Aventura,34.23,3.19,22660
98.67,7.29,9537,56.59,Aventura,31.45,0.66,62935
6.35,2.8,15085,87.46,Aventura,72.1,2.31,32545
69.45,0.79,40928,42.32,Aventura,39.96,9.37,94364
56.45,6.73,3780,77.07,RPG,40.39,5.74,7740
37.33,6.89,34903,96.91,RPG,12.79,0.3,69672
23.34,4.87,10816,30.65,Estratégia,39.55,4.38,84339
80.12,3.6,1547,17.56,RPG,13.73,9.76,98264
89.87,3.67,10067,16.21,Aventura,87.32,4.53,7511
27.15,1.36,5389,83.82,Estratégia,31.25,2.84,12897
52.45,6.95,20084,46.56,Estratégia,16.56,9.44,3409
62.37,7.02,40754,66.69,Estratégia,38.41,3.46,87273
59.44,3.09,2313,36.99,Aventura,30.8,3.45,96929
25.57,6.89,36937,39.77,Estratégia,1.7,8.12,39851
35.33,3.69,10836,25.69,Aventura,29.87,5.64,65761
54.77,4.52,1692,11.94,RPG,0.24,4.1,86971
85.68,2.93,32057,99.01,Estratégia,23.13,1.42,80838
57.39,7.92,3060,36.29,RPG,30.2,8.47,80730
54.23,2.92,43502,30.45,Estratégia,59.22,8.04,66536
81.61,4.42,18256,80.12,Estratégia,72.86,7.3,73059
14.04,6.05,13867,42.61,Estratégia,10.88,2.13,8082
56.53,2.5,5991,9.05,Aventura,7.5,0.71,47220
15.7,9.52,19464,25.96,RPG,9.3,8.83,21709
66.83,0.7,10900,56.54,Estratégia,1.97,9.17,45582
28.21,4.55,672,32.84,RPG,88.03,7.71,38541
80.09,8.31,42822,15.9,RPG,8.58,2.28,46791
49.89,4.45,29270,46.83,Ação,83.69,7.22,64428
52.75,6.30,21656,40.42,RPG,47.28,8.22,28262
43.33,7.49,30263,47.40,Aventura,38.90,8.52,61902
3.52,3.17,47415,50.05,RPG,84.30,5.70,33858
11.68,2.51,10451,16.03,Simulação,71.83,7.60,45520
